|tiempo_camara | tiempo_espectrometro | tiempo_algoritmo | tiempo_soot | tiempo_opc |
| 0.2604713439941406 | 4.900627374649048 | 0.6990630626678467 | 6.198883056640625e-06 | 2.0204055309295654|
| 0.25963640213012695 | 6.44847297668457 | 0.7149770259857178 | 1.1920928955078125e-06 | 2.0253894329071045|
| 0.25892186164855957 | 7.295568227767944 | 0.7241756916046143 | 1.6689300537109375e-06 | 2.018052816390991|
| 0.258969783782959 | 6.217673301696777 | 0.7390134334564209 | 1.6689300537109375e-06 | 2.0311522483825684|
| 0.26005077362060547 | 5.964136600494385 | 0.7222497463226318 | 1.6689300537109375e-06 | 2.019407033920288|
| 0.25931310653686523 | 5.357755422592163 | 0.7146079540252686 | 1.430511474609375e-06 | 2.0154008865356445|
| 0.2617487907409668 | 5.70232367515564 | 0.7172236442565918 | 1.1920928955078125e-06 | 2.016958713531494|
| 0.26047563552856445 | 6.387964248657227 | 0.701749324798584 | 1.430511474609375e-06 | 2.017025947570801|
| 0.25978732109069824 | 5.900325298309326 | 0.7077033519744873 | 1.430511474609375e-06 | 2.016402244567871|
| 0.25657105445861816 | 5.978359699249268 | 0.7044224739074707 | 1.6689300537109375e-06 | 2.0196053981781006|
| 0.2596261501312256 | 7.686380624771118 | 0.7135629653930664 | 1.430511474609375e-06 | 2.015676736831665|
| 0.2590179443359375 | 5.498841285705566 | 0.710848331451416 | 1.430511474609375e-06 | 2.018939971923828|
| 0.2592332363128662 | 9.437277555465698 | 0.7154135704040527 | 1.6689300537109375e-06 | 2.0168983936309814|
| 0.2563319206237793 | 6.098451137542725 | 0.7072532176971436 | 1.6689300537109375e-06 | 2.016129732131958|
| 0.25995707511901855 | 5.246482610702515 | 0.7060773372650146 | 1.430511474609375e-06 | 2.026958465576172|
| 0.2600898742675781 | 8.124284505844116 | 0.715656042098999 | 2.1457672119140625e-06 | 2.0415327548980713|
| 0.25962018966674805 | 7.35783052444458 | 0.7304401397705078 | 1.6689300537109375e-06 | 2.0396981239318848|
| 0.2597062587738037 | 6.629049062728882 | 0.7167227268218994 | 1.6689300537109375e-06 | 2.0149953365325928|
| 0.25904226303100586 | 8.091734170913696 | 0.7189795970916748 | 1.6689300537109375e-06 | 2.0400516986846924|
| 0.2589759826660156 | 5.69223690032959 | 0.7180581092834473 | 1.430511474609375e-06 | 2.0161690711975098|
| 0.25924229621887207 | 8.275587558746338 | 0.6962320804595947 | 1.6689300537109375e-06 | 2.016115188598633|
| 0.2593402862548828 | 5.357052803039551 | 0.7138931751251221 | 1.430511474609375e-06 | 2.0179152488708496|
| 0.260150671005249 | 6.522555589675903 | 0.7175998687744141 | 1.6689300537109375e-06 | 2.0158255100250244|
| 0.2591993808746338 | 6.010136365890503 | 0.7021207809448242 | 1.6689300537109375e-06 | 2.0171265602111816|
| 0.2592921257019043 | 6.096163749694824 | 0.7030923366546631 | 1.430511474609375e-06 | 2.0158629417419434|
| 0.2590188980102539 | 5.743767738342285 | 0.7081379890441895 | 1.430511474609375e-06 | 2.0216517448425293|
| 0.2592642307281494 | 6.209618806838989 | 0.7178654670715332 | 1.430511474609375e-06 | 2.0160698890686035|
| 0.25916409492492676 | 5.5417869091033936 | 0.7214446067810059 | 1.6689300537109375e-06 | 2.030625820159912|
| 0.2590348720550537 | 5.983483076095581 | 0.7441365718841553 | 1.6689300537109375e-06 | 2.0203487873077393|
